Applicance,Wattage(min),Wattage(max),Min units consumption in an hour (kWh),Max units consumption in an hour (kWh),Average unit consumption in an hour (kWh),Auckland (avg cost per kWh),Wellington (avg cost per kWh),Christchurch (avg cost per kWh),Dunedin (avg cost per kWh)
Lawnmower,1000W,1400W,1,1.4,1.2,0.2364,0.24816,0.3192,0.28056
LED Light Bulb,7W,10W,0.007,0.01,0.0085,0.0016745,0.0017578,0.002261,0.0019873
Mi Box,5W,7W,0.005,0.007,0.006,0.001182,0.0012408,0.001596,0.0014028
Microwave,1000W,2500W,1,2.5,1.75,0.34475,0.3619,0.4655,0.40915
Nintendo Switch AC Adapter,7W,40W,0.007,0.04,0.0235,0.0046295,0.0048598,0.006251,0.0054943
Oven,1000W,2150W,1,2.15,1.575,0.310275,0.32571,0.41895,0.368235
Paper Shredder,200W,220W,0.2,0.22,0.21,0.04137,0.043428,0.05586,0.049098
Pedestal Fan,50W,70W,0.05,0.07,0.06,0.01182,0.012408,0.01596,0.014028
Percolator,800W,1100W,0.8,1.1,0.95,0.18715,0.19646,0.2527,0.22211
Philips Hue Smart Bulb,8W,9W,0.008,0.009,0.0085,0.0016745,0.0017578,0.002261,0.0019873
Phone Charger,4W,7W,0.004,0.007,0.0055,0.0010835,0.0011374,0.001463,0.0012859
Playstation 4,85W,150W,0.085,0.15,0.1175,0.0231475,0.024299,0.031255,0.0274715
Power Shower,7500W,10500W,7.5,10.5,9,1.773,1.8612,2.394,2.1042
Projector,220W,270W,0.22,0.27,0.245,0.048265,0.050666,0.06517,0.057281
Refrigerator,100W,200W,0.1,0.2,0.15,0.02955,0.03102,0.0399,0.03507
Scanner,10W,18W,0.01,0.018,0.014,0.002758,0.0028952,0.003724,0.0032732
Set Top Box,27W,30W,0.027,0.03,0.0285,0.0056145,0.0058938,0.007581,0.0066633
Sewing Machine,70W,80W,0.07,0.08,0.075,0.014775,0.01551,0.01995,0.017535
Space Heater,2000W,5000W,2,5,3.5,0.6895,0.7238,0.931,0.8183
Steam Iron,2200W,2500W,2.2,2.5,2.35,0.46295,0.48598,0.6251,0.54943
Table Fan,10W,25W,0.01,0.025,0.0175,0.0034475,0.003619,0.004655,0.0040915
Top Load Washing Machine,500W,2500W,0.5,2.5,1.5,0.2955,0.3102,0.399,0.3507
Treadmill,280W,900W,0.28,0.9,0.59,0.11623,0.122012,0.15694,0.137942
Tube Light,22W,22W,0.022,0.022,0.022,0.004334,0.0045496,0.005852,0.0051436
Vacuum Cleaner,450W,900W,0.45,0.9,0.675,0.132975,0.13959,0.17955,0.157815
Wall Mounted Fan,45W,60W,0.045,0.06,0.0525,0.0103425,0.010857,0.013965,0.0122745
Washing Machine,500W,500W,0.5,0.5,0.5,0.0985,0.1034,0.133,0.1169
Water Filter and Cooler,70W,100W,0.07,0.1,0.085,0.016745,0.017578,0.02261,0.019873
Wine cooler (18 bottles),83W,83W,0.083,0.083,0.083,0.016351,0.0171644,0.022078,0.0194054
Xbox One,50W,110W,0.05,0.11,0.08,0.01576,0.016544,0.02128,0.018704
Zero Bulb,1W,1W,0.001,0.001,0.001,0.000197,0.0002068,0.000266,0.0002338
